Periode;org_1;org_2;org_3;sto;order_id;trouble_no;ket_exclude;Wilsus
202605;AREA 2;WESTERN JABOTABEK;SERANG;CLG;AOi42603300500533254c1a00;INC49763436;;0
202605;AREA 1;SUMBAGSEL;LAMPUNG;TJK;AOi4260330120010577bd5b60;INC49753129;;0
202605;AREA 3;BALI NUSRA;DENPASAR;LVN;AOi4260330025310144b8c1d0;INC49744699;;0
202605;AREA 2;WESTERN JABOTABEK;SERANG;LGK;AOi42603300843032311aad70;INC49744567;;0
202605;AREA 3;JATIM;SIDOARJO;TPO;AOi4260330105014805541200;INC49744093;;0
202605;AREA 3;BALI NUSRA;MATARAM;SAP;AOi4260328082150380a6fff0;INC49741562;;1
202605;AREA 2;JABAR;BANDUNG;LBG;AOi4260329093800192ec8eb0;INC49728006;;0
202605;AREA 1;SUMBAGUT;CENTRAL MEDAN;LBP;AOi4260330081520140160860;INC49727720;;0
202605;AREA 3;JATENG-DIY;PEKALONGAN;KDW;AOi4260325023508401a64cc0;INC49726370;;0
202605;AREA 1;SUMBAGSEL;JAMBI;RBB;AOi42603300342056742f4670;INC49719404;;1
202605;AREA 4;KALIMANTAN;TARAKAN;TRK;AOi4260330054651016a1a840;INC49718172;;0
202605;AREA 1;SUMBAGUT;WESTERN MEDAN;KSG;AOi42603280455156930f87f0;INC49716525;;0
202605;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;PGG;AOi42603290403386828cfb80;INC49715270;;0
202605;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;CKG;AOi126032809173503507b2c0;INC49707081;;1
202605;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;CKG;AOi4260318043020237e65790;INC49706652;;0
202605;AREA 3;BALI NUSRA;DENPASAR;TOP;AOi4260327054154187c0bcb0;INC49702409;;0
202605;AREA 3;JATIM;SURABAYA;MGO;AOi4260328012214008874bb0;INC49699561;;0
202605;AREA 4;KALIMANTAN;PONTIANAK;SPY;AOi426032703463076426ef80;INC49696825;;0
