Periode;tsel_area;tsel_regional;tsel_branch;sto;Order_Type;SLA_Threshold_Hours;reference_for_counting;reason_of_reference;Duration_Hours;SLA_Status
202605;TREG 2;BANTEN;CIPUTAT;CPA;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);32,45;Not Comply
202605;TREG 3;BALI;DENPASAR SELATAN;JBR;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);32,45;Not Comply
202605;TREG 2;PRIANGAN BARAT;DEPOK;SKJ;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);75,45;Not Comply
202605;TREG 3;JATIM BARAT;MALANG;TMP;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);49,46;Not Comply
202605;TREG 3;SURAMADU;GRESIK;GSK;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);25,48;Not Comply
202605;TREG 3;JATIM BARAT;MALANG;BLB;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);56,50;Not Comply
202605;TREG 2;BANDUNG;BANDUNG;GGK;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);27,50;Comply
202605;TREG 2;JAKARTA INNER;JAKBAR;PLM;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);27,53;Not Comply
202605;TREG 4;KALSELTENG;MUARA TEWEH;BNT;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);25,54;Not Comply
202605;TREG 2;PRIANGAN TIMUR;TASIKMALAYA;TSM;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);56,54;Not Comply
202605;TREG 4;KALSELTENG;PALANGKARAYA;PLK;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 5;SULBAGSEL;SITOR;RTP;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);147,56;Not Comply
202605;TREG 2;BANTEN;CIPUTAT;CPA;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 2;BANTEN;PASAR BARU;TAN;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);27,57;Not Comply
202605;TREG 3;NUSA TENGGARA;NTB;MTR;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);27,59;Not Comply
202605;TREG 4;KALSELTENG;TANJUNG TABALONG;TJL;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
