Periode;tsel_area;tsel_regional;tsel_branch;tsel_cluster;tsel_region_network;tsel_nop;sto;order_id;reference_for_counting;reason_of_reference;Duration_Hours;SLA_Status
202602;AREA 2;JAKARTA BANTEN;NORTHERN JAKARTA;JAKBAR;JAKARTA BANTEN;NORTHERN JAKARTA;CKG;AOb02601310246524232972d0;Manja;tgl_manja_awal valid & positif;5,25;Comply
202602;AREA 1;SUMBAGTENG;BATAM;BATAM;SUMBAGTENG;BATAM;LBJ;AOb026020106175424573adc0;Manja;tgl_manja_awal valid & positif;6,26;Comply
202602;AREA 3;JATENG;PEKALONGAN;TEGAL BREBES;JAWA TENGAH DAN DIY;PEKALONGAN;TEG;AOb0260201103405447d2adf0;PI;tgl_manja_awal negatif → pakai tgl_pi;2,04;Comply
202602;AREA 2;EASTERN JABOTABEK;BEKASI;KOTA BEKASI;EASTERN JABOTABEK;BEKASI;KLB;AOb02602020314284406b81a0;Manja;tgl_manja_awal valid & positif;33,05;Comply
202602;AREA 3;JATIM;SURABAYA;KOTA SURABAYA;JAWA TIMUR;SURABAYA;RKT;AOb0260202035058664146c20;Manja;tgl_manja_awal valid & positif;34,45;Comply
202602;AREA 2;JAKARTA BANTEN;TANGERANG;TANGSEL;JAKARTA BANTEN;TANGERANG;SRP;AOb0260202044534342bbd770;Manja;tgl_manja_awal valid & positif;8,23;Comply
202602;AREA 2;EASTERN JABOTABEK;BOGOR;SUKABUMI;EASTERN JABOTABEK;BOGOR;SKB;AOb02602030529107183ac890;Manja;tgl_manja_awal valid & positif;29,42;Comply
202602;AREA 4;KALIMANTAN;SAMARINDA;BONTANG;KALIMANTAN;SAMARINDA;STT;AOb0260203073345761415e90;Manja;tgl_manja_awal valid & positif;4,20;Comply
202602;AREA 4;SULAWESI;PARE-PARE;MAMUJU MAJENE;SULAWESI;PAREPARE;WON;AOb0260203073920937465f00;PI;tgl_manja_awal negatif → pakai tgl_pi;1,31;Comply
202602;AREA 3;JATIM;SURABAYA;KOTA SURABAYA;JAWA TIMUR;SURABAYA;MGO;AOb026020309340605693b610;Manja;tgl_manja_awal valid & positif;49,98;Comply
202602;AREA 1;SUMBAGTENG;PEKANBARU;INDRAGIRI HULU;SUMBAGTENG;PEKANBARU;AMK;AOb02602040207125586e1440;Manja;tgl_manja_awal valid & positif;30,80;Comply
202602;AREA 2;JAKARTA BANTEN;SOUTHERN JAKARTA;JAKPUSEL;JAKARTA BANTEN;SOUTHERN JAKARTA;JAG;AOb0260204022144601d71fb0;Manja;tgl_manja_awal valid & positif;3,63;Comply
202602;AREA 1;SUMBAGUT;MEDAN;KOTA MEDAN;SUMBAGUT;MEDAN;SPM;AOb02602040308018264dc810;Manja;tgl_manja_awal valid & positif;6,80;Comply
202602;AREA 4;SULAWESI;MAKASSAR;GOWA;SULAWESI;MAKASSAR;SUG;AOb0260205072753061b087c0;Manja;tgl_manja_awal valid & positif;46,23;Comply
202602;AREA 2;JAKARTA BANTEN;TANGERANG;KOTA TANGERANG;JAKARTA BANTEN;TANGERANG;TAN;AOb0260205080055758a31e30;Manja;tgl_manja_awal valid & positif;24,30;Comply
202602;AREA 4;SULAWESI;PALU;MOROWALI;SULAWESI;PALU;BKU;AOb0260206100222752924c80;Manja;tgl_manja_awal valid & positif;1,54;Comply
202602;AREA 1;SUMBAGSEL;PALEMBANG;PRABUMULIH;SUMBAGSEL;PALEMBANG;MEM;AOb02602061236454569f2930;Manja;tgl_manja_awal valid & positif;57,86;Comply
202602;AREA 2;EASTERN JABOTABEK;BEKASI;KOTA BEKASI;EASTERN JABOTABEK;BEKASI;PKY;AOb0260207083624619dbef50;Manja;tgl_manja_awal valid & positif;1,87;Comply
